,date,bike_id,price,start_time,end_time,start_loc,end_loc
0,"May 19, 2023",79338,$3.81,2:05 AM,2:13 AM,Haste St at College Ave,Berkeley Civic Center
1,"May 18, 2023",830-0543,$3.81,1:16 AM,1:19 AM,Channing Way at Shattuck Ave,Berkeley Civic Center
2,"May 13, 2023",406-5314,$0.00,2:04 AM,2:07 AM,Channing Way at Shattuck Ave,Berkeley Civic Center
3,"April 29, 2023",584-993,$8.55,5:14 PM,5:44 PM,Market St at Steuart St,North Point St at Polk St
4,"April 24, 2023",875-0044,$3.81,2:48 AM,2:51 AM,Channing Way at Shattuck Ave,Berkeley Civic Center
5,"April 23, 2023",17035,$3.81,10:24 PM,10:28 PM,Berkeley Civic Center,Channing Way at Shattuck Ave
6,"April 23, 2023",16597,$3.81,12:00 AM,12:09 AM,Bancroft Way at Telegraph Ave,Berkeley Civic Center
7,"April 21, 2023",405-847,$11.60,7:51 PM,8:15 PM,Montgomery St at Pacific Ave,North Point St at Polk St
8,"April 21, 2023",947-101,$11.92,4:49 PM,5:14 PM,20th St at Dolores St,Market St at Steuart St
9,"April 17, 2023",413-8889,$3.81,11:58 PM,12:01 AM,Channing Way at Shattuck Ave,Berkeley Civic Center
10,"April 8, 2023",847-2961,$3.81,11:04 PM,11:07 PM,Channing Way at Shattuck Ave,Berkeley Civic Center
11,"April 8, 2023",847-2961,$3.81,8:27 PM,8:30 PM,Berkeley Civic Center,Channing Way at Shattuck Ave
12,"April 8, 2023",847-2961,$3.81,12:50 AM,1:01 AM,Bancroft Way at College Ave,Berkeley Civic Center
13,"March 17, 2023",344-7307,$3.81,12:40 PM,12:43 PM,Berkeley Civic Center,Channing Way at Shattuck Ave
14,"March 14, 2023",16863,$3.81,10:17 PM,10:20 PM,Berkeley Civic Center,Channing Way at Shattuck Ave
15,"February 25, 2023",16503,$3.81,2:33 AM,2:36 AM,Channing Way at Shattuck Ave,Berkeley Civic Center
16,"February 12, 2023",564-9694,$3.81,1:06 AM,1:09 AM,Channing Way at Shattuck Ave,Berkeley Civic Center
17,"February 4, 2023",17130,$3.81,7:02 PM,7:06 PM,Berkeley Civic Center,Channing Way at Shattuck Ave
18,"January 27, 2023",598-4406,$3.81,9:13 PM,9:17 PM,Berkeley Civic Center,Channing Way at Shattuck Ave
19,"January 23, 2023",16756,$0.00,7:19 PM,7:22 PM,Berkeley Civic Center,Channing Way at Shattuck Ave
20,"December 17, 2022",17299,$0.00,4:20 PM,4:28 PM,Bancroft Way at Telegraph Ave,Berkeley Civic Center
21,"December 17, 2022",17076,$0.00,12:41 AM,12:44 AM,Channing Way at Shattuck Ave,Berkeley Civic Center
22,"December 16, 2022",17076,$0.00,2:39 PM,2:50 PM,Berkeley Civic Center,Channing Way at Shattuck Ave
23,"December 15, 2022",599-5881,$0.00,7:36 PM,7:42 PM,Bancroft Way at Telegraph Ave,Berkeley Civic Center
24,"December 15, 2022",16571,$0.00,2:58 PM,3:13 PM,Ninth St at Heinz Ave,Berkeley Civic Center
25,"December 15, 2022",67938,$0.00,12:39 PM,12:52 PM,Berkeley Civic Center,Ninth St at Heinz Ave
26,"December 14, 2022",67938,$0.00,9:55 PM,9:59 PM,Channing Way at Shattuck Ave,Berkeley Civic Center
27,"December 13, 2022",671-6542,$0.00,9:01 PM,9:09 PM,Bancroft Way at Telegraph Ave,MLK Jr Way at University Ave
28,"December 10, 2022",850-2940,$0.00,10:43 PM,10:47 PM,Channing Way at Shattuck Ave,Berkeley Civic Center
29,"December 10, 2022",17254,$0.00,9:22 AM,9:27 AM,Berkeley Civic Center,Fulton St at Bancroft Way
30,"December 9, 2022",886-1650,$0.00,5:35 PM,5:53 PM,Ninth St at Heinz Ave,MLK Jr Way at University Ave
31,"December 9, 2022",886-1650,$0.00,3:37 PM,3:50 PM,Berkeley Civic Center,Ninth St at Heinz Ave
32,"December 8, 2022",75534,$0.00,2:54 PM,2:58 PM,Bancroft Way at Telegraph Ave,Hearst Ave at Euclid Ave
33,"December 7, 2022",796-6260,$0.00,7:28 PM,7:44 PM,Ninth St at Heinz Ave,MLK Jr Way at University Ave
34,"December 7, 2022",796-6260,$0.00,5:15 PM,5:28 PM,Berkeley Civic Center,Ninth St at Heinz Ave
35,"December 6, 2022",15102,$0.00,6:52 PM,6:58 PM,Fulton St at Bancroft Way,Berkeley Civic Center
36,"December 6, 2022",17166,$0.00,3:13 PM,3:19 PM,Bancroft Way at Telegraph Ave,Berkeley Civic Center
37,"December 5, 2022",796-6260,$0.00,4:08 PM,4:24 PM,Ninth St at Heinz Ave,Berkeley Civic Center
38,"December 2, 2022",319-8199,$0.00,9:45 PM,9:50 PM,Channing Way at Shattuck Ave,MLK Jr Way at University Ave
39,"December 2, 2022",319-8199,$0.00,5:31 PM,5:35 PM,Berkeley Civic Center,Channing Way at Shattuck Ave
40,"December 1, 2022",511-7692,$0.00,11:10 PM,11:13 PM,Channing Way at Shattuck Ave,Berkeley Civic Center
41,"December 1, 2022",511-7692,$0.00,4:32 PM,4:35 PM,Berkeley Civic Center,Channing Way at Shattuck Ave
42,"November 30, 2022",511-7692,$0.00,6:38 PM,6:43 PM,Fulton St at Bancroft Way,Berkeley Civic Center
43,"November 30, 2022",248-7288,$0.00,6:04 PM,6:07 PM,University Ave at Oxford St,Fulton St at Bancroft Way
44,"November 30, 2022",875-0044,$0.00,2:16 PM,2:42 PM,Ninth St at Heinz Ave,MLK Jr Way at University Ave
45,"November 29, 2022",555-8390,$0.00,6:37 PM,6:42 PM,Bancroft Way at Telegraph Ave,Berkeley Civic Center
46,"November 28, 2022",432-4596,$0.00,6:03 PM,6:19 PM,Ninth St at Heinz Ave,Berkeley Civic Center
47,"November 28, 2022",68386,$0.00,3:37 PM,3:49 PM,Berkeley Civic Center,Ninth St at Heinz Ave
48,"November 28, 2022",81133,$0.00,12:55 PM,1:03 PM,Bancroft Way at Telegraph Ave,MLK Jr Way at University Ave
49,"November 27, 2022",68386,$0.00,12:58 AM,1:01 AM,Channing Way at Shattuck Ave,Berkeley Civic Center
50,"November 27, 2022",68386,$0.00,12:44 AM,12:50 AM,Downtown Berkeley BART,Channing Way at Shattuck Ave
51,"November 26, 2022",656-1278,$0.00,3:39 PM,3:46 PM,Bancroft Way at Telegraph Ave,Berkeley Civic Center
52,"November 26, 2022",16744,$0.00,1:21 PM,1:25 PM,Berkeley Civic Center,Channing Way at Shattuck Ave
53,"November 26, 2022",16744,$0.00,11:27 AM,11:32 AM,Fulton St at Bancroft Way,Berkeley Civic Center
54,"November 26, 2022",16744,$0.00,10:33 AM,10:37 AM,Berkeley Civic Center,Fulton St at Bancroft Way
55,"November 25, 2022",17243,$0.00,4:22 PM,4:51 PM,Ninth St at Heinz Ave,MLK Jr Way at University Ave
56,"November 25, 2022",432-4596,$0.00,2:14 PM,2:30 PM,Berkeley Civic Center,San Pablo Park
57,"November 23, 2022",17098,$0.00,11:13 AM,11:18 AM,Berkeley Civic Center,Fulton St at Bancroft Way
58,"November 22, 2022",622-9272,$0.00,7:13 PM,7:18 PM,Fulton St at Bancroft Way,Berkeley Civic Center
59,"November 22, 2022",622-9272,$0.00,1:09 PM,1:13 PM,Berkeley Civic Center,Fulton St at Bancroft Way
60,"November 21, 2022",622-9272,$0.00,11:19 PM,11:22 PM,Channing Way at Shattuck Ave,Berkeley Civic Center
61,"November 21, 2022",495-4129,$0.00,4:10 PM,4:28 PM,Ninth St at Heinz Ave,Berkeley Civic Center
62,"November 21, 2022",495-4129,$0.00,2:13 PM,2:25 PM,Berkeley Civic Center,Ninth St at Heinz Ave
63,"November 21, 2022",792-4129,$0.00,12:02 AM,12:05 AM,Channing Way at Shattuck Ave,Berkeley Civic Center
64,"November 20, 2022",792-4129,$0.00,6:47 PM,6:50 PM,Berkeley Civic Center,Channing Way at Shattuck Ave
65,"November 19, 2022",432-4596,$0.00,7:36 PM,7:39 PM,Channing Way at Shattuck Ave,Berkeley Civic Center
66,"November 19, 2022",201-8273,$0.00,12:13 PM,12:40 PM,Ninth St at Heinz Ave,MLK Jr Way at University Ave
67,"November 19, 2022",201-8273,$0.00,10:26 AM,10:39 AM,Berkeley Civic Center,Ninth St at Heinz Ave
68,"November 18, 2022",792-4129,$0.00,1:32 PM,1:47 PM,Ninth St at Heinz Ave,Berkeley Civic Center
69,"November 18, 2022",792-4129,$0.00,11:57 AM,12:10 PM,Berkeley Civic Center,Ninth St at Heinz Ave
70,"November 17, 2022",16708,$0.00,5:22 PM,5:28 PM,Bancroft Way at Telegraph Ave,Berkeley Civic Center
71,"November 16, 2022",792-4129,$0.00,3:57 PM,4:28 PM,Ninth St at Heinz Ave,Berkeley Civic Center
72,"November 16, 2022",587-5810,$0.00,1:20 PM,1:31 PM,Berkeley Civic Center,Ninth St at Parker St
73,"November 15, 2022",14579,$0.00,5:34 PM,5:42 PM,Bancroft Way at Telegraph Ave,MLK Jr Way at University Ave
74,"November 14, 2022",336-2720,$0.00,7:50 PM,7:55 PM,Fulton St at Bancroft Way,Berkeley Civic Center
75,"November 14, 2022",792-4129,$0.00,5:10 PM,5:21 PM,Berkeley Civic Center,Ninth St at Heinz Ave
76,"November 13, 2022",622-8316,$0.00,7:56 PM,7:59 PM,Berkeley Civic Center,Channing Way at Shattuck Ave
77,"November 13, 2022",248-7288,$0.00,11:29 AM,11:46 AM,Ninth St at Heinz Ave,MLK Jr Way at University Ave
78,"November 13, 2022",248-7288,$0.00,9:41 AM,10:02 AM,MLK Jr Way at University Ave,Ninth St at Heinz Ave
79,"November 11, 2022",308-5222,$0.00,4:24 PM,4:45 PM,Ninth St at Heinz Ave,Berkeley Civic Center
80,"November 11, 2022",429-9996,$0.00,2:04 PM,2:20 PM,Channing Way at Shattuck Ave,Ninth St at Parker St
81,"November 11, 2022",17197,$0.00,12:49 PM,12:53 PM,Berkeley Civic Center,Fulton St at Bancroft Way
82,"November 11, 2022",258-0512,$0.00,2:02 AM,2:06 AM,Fulton St at Bancroft Way,Berkeley Civic Center
83,"November 10, 2022",224-4648,$0.00,6:41 PM,6:45 PM,Berkeley Civic Center,Channing Way at Shattuck Ave
84,"November 10, 2022",248-7288,$0.00,12:04 PM,12:13 PM,Bancroft Way at Telegraph Ave,MLK Jr Way at University Ave
85,"November 10, 2022",258-0512,$0.00,9:23 AM,9:28 AM,Berkeley Civic Center,Fulton St at Bancroft Way
86,"November 9, 2022",831-3538,$0.00,7:27 PM,7:32 PM,Fulton St at Bancroft Way,Berkeley Civic Center
